,id,id_str,full_text,sentiment,url,directive,emotions
0,1355345090022154241,1355345090022154240,"@science_barbie @priyology Cyanobacteria (also called blue-green algae) are microorganisms that can produce HABs (harmful algal blooms) - some of which produce toxins. When released downstream to the ocean, cause red tide, and exacerbate coral bleaching.",,,,
1,1355321147701686273,1355321147701686272,New insights into coral bleaching by international collaboration incl @UWAresearch(ers) Jeremy Bougoure &amp; Paul Guagliardo @CMCA_UWA nano-SIMS. Heat stress disrupts symbiotic nutrient cycling well before breakdown of the coral-algal symbiosis. @uwaoceans  https://t.co/linu3NudFW,,,,
2,1355286925809094659,1355286925809094656,"Friday Tally:

2 dives, continued coral bleaching documentation 

Lab time next 

More dives tomorrow.

Feels good to be productive after being grounded due to weather",,,,
3,1355276872410681348,1355276872410681344,"Coral bleaching is so sad because they just be there vibing doing what they’re supposed to do, then die due to forces beyond their control. Rip to the real ones 🕊",,,,
4,1355268165148815360,1355268165148815360,"predicts that at the current rate of emissions, there is likely to be an increase in the mean global temperature of 1-4 degrees C by 2100. Ocean warming also leads to less available oxygen and acidification all of which adversely affects marine life &amp; marine ecosystems. Attention",,,,
5,1355268161939992576,1355268161939992576,"warming of the ocean affects marine species &amp; ecosystems, cause coral bleaching &amp; the loss of breeding grounds for species. The warming oceans also causes more extreme weather events, coastal flooding &amp; food insecurity. The IPCC has reported that the oceans have absorbed more",,,,
6,1355264500925145093,1355264500925145088,Happening now: Coral Bleaching,,,,
7,1355256571501158402,1355256571501158400,Coral bleaching hits back money claimed a scripted maturity tour since I are u talking points seem to enjoy this weekend's,,,,
8,1355253934177345538,1355253934177345536,"@KIVUNature @jimdtweet @DenglerJoachim @SConwaySmith @TWTThisIsNow @jgorman2424 @Gladfly1 @3GHtweets @Alexhanss @robhon_ @RushhourP @Voight_Kampff_3 @NikolovScience @BubbasRanch @JohnWSCarpente1 @Over400ppm @caerbannog666 @horrdorr @priscian @ladyspat1 @EthonRaptor @KCTaz @copilco1 @RogTallbloke @DawnTJ90 @stevenmosher @mrpjtay @BernardoVerda @MichaelEPerrone @claude_roumain @ron9gray @BobArmstrong @oakden_wolf @FriendsOScience @joedieseldodge @notGHGs @zwerfkat @TQMKA @serveBC @MLBinWA @No1Trump @eachus @Curmudgeon1836 @SantasTavern @SpurglyD @Setophaga9 @Dang83616 @SpaceX ""need to explain the atmospheric temperature rise in the last 50 years""

Do you understand 93% of global warming is manifested as a change in ocean temperature? Only 1% is air?

Do you understand the the heat flux is ocean-to-air? The air warms due to ocean warming? https://t.co/7Hie1zHkIx",,,,
9,1355243694669004800,1355243694669004800,I'm going to Coralpalooza™ - the world's biggest coral restoration event happening on World Ocean's day June 5. Join this large-scale collaborative action to save our coral reefs. https://t.co/0JIiA5qHVx #Coralpalooza #coralrestoration @WorldOceansDay #environment #globalwarming,,,,
10,1355238045214253057,1355238045214253056,"@KIVUNature @jimdtweet @DenglerJoachim @SConwaySmith @TWTThisIsNow @jgorman2424 @Gladfly1 @3GHtweets @Alexhanss @robhon_ @RushhourP @Voight_Kampff_3 @NikolovScience @BubbasRanch @JohnWSCarpente1 @Over400ppm @caerbannog666 @horrdorr @priscian @ladyspat1 @EthonRaptor @KCTaz @copilco1 @RogTallbloke @DawnTJ90 @stevenmosher @mrpjtay @BernardoVerda @MichaelEPerrone @claude_roumain @ron9gray @BobArmstrong @oakden_wolf @FriendsOScience @joedieseldodge @notGHGs @zwerfkat @TQMKA @serveBC @MLBinWA @No1Trump @eachus @Curmudgeon1836 @SantasTavern @SpurglyD @Setophaga9 @Dang83616 @SpaceX ""your null hypothesis has now been soundly falsified""

You have observational evidence showing the 0.09°C ocean warming since 1955 (93% of GW) was driven by humans? Let's see it, then. I must have missed the instance when natural variability👇was scientifically ruled out. https://t.co/64gLhXiO5W",,,,
11,1355224896582934533,1355224896582934528,"Saturday, January 30th 2021 9 AM Guest Lecture by Dr. Franziska Elmer. 
Stony Coral Tissue Loss Disease and coral bleaching presentation
Zoom link for Saturday Jan 30th - https://t.co/T6JhuRfe0T https://t.co/btzS5uWhBX",,,,
12,1355189722692243456,1355189722692243456,"Hawaii’s ban on #sunscreen that contains #oxybenzone and octinoxate went into effect on Jan. 1. Oxybenzone and octinoxate are chemical UV filters that can cause #coral bleaching. Sunscreens with mineral UV filters (zinc oxide and titanium dioxide) are safer to use.

#i4es
#hawaii https://t.co/QWL5rXuIiN",,,,
13,1355157521464487945,1355157521464487936,Research reveals genetic response of ocean warming and acidification in American lobster https://t.co/nVdBTml0bk,,,,
