id,id_str,full_text,decision
1355345090022154241,1355345090022154240,"@science_barbie @priyology Cyanobacteria (also called blue-green algae) are microorganisms that can produce HABs (harmful algal blooms) - some of which produce toxins. When released downstream to the ocean, cause red tide, and exacerbate coral bleaching.",enabling context
1355321147701686273,1355321147701686272,New insights into coral bleaching by international collaboration incl @UWAresearch(ers) Jeremy Bougoure &amp; Paul Guagliardo @CMCA_UWA nano-SIMS. Heat stress disrupts symbiotic nutrient cycling well before breakdown of the coral-algal symbiosis. @uwaoceans  https://t.co/linu3NudFW,enabling context
1355286925809094659,1355286925809094656,"Friday Tally:

2 dives, continued coral bleaching documentation 

Lab time next 

More dives tomorrow.

Feels good to be productive after being grounded due to weather",buzz
1355276872410681348,1355276872410681344,"Coral bleaching is so sad because they just be there vibing doing what theyâre supposed to do, then die due to forces beyond their control. Rip to the real ones ð",desirability
1355268165148815360,1355268165148815360,"predicts that at the current rate of emissions, there is likely to be an increase in the mean global temperature of 1-4 degrees C by 2100. Ocean warming also leads to less available oxygen and acidification all of which adversely affects marine life &amp; marine ecosystems. Attention",desirability
1355268161939992576,1355268161939992576,"warming of the ocean affects marine species &amp; ecosystems, cause coral bleaching &amp; the loss of breeding grounds for species. The warming oceans also causes more extreme weather events, coastal flooding &amp; food insecurity. The IPCC has reported that the oceans have absorbed more",desirability
1355264500925145093,1355264500925145088,Happening now: Coral Bleaching,enabling context
1355243694669004800,1355243694669004800,I'm going to Coralpaloozaâ¢ - the world's biggest coral restoration event happening on World Ocean's day June 5. Join this large-scale collaborative action to save our coral reefs. https://t.co/0JIiA5qHVx #Coralpalooza #coralrestoration @WorldOceansDay #environment #globalwarming,invitation
1355224896582934533,1355224896582934528,"Saturday, January 30th 2021 9 AM Guest Lecture by Dr. Franziska Elmer. 
Stony Coral Tissue Loss Disease and coral bleaching presentation
Zoom link for Saturday Jan 30th - https://t.co/T6JhuRfe0T https://t.co/btzS5uWhBX",invitation
1355189722692243456,1355189722692243456,"Hawaiiâs ban on #sunscreen that contains #oxybenzone and octinoxate went into effect on Jan. 1. Oxybenzone and octinoxate are chemical UV filters that can cause #coral bleaching. Sunscreens with mineral UV filters (zinc oxide and titanium dioxide) are safer to use.

#i4es
#hawaii https://t.co/QWL5rXuIiN",enabling context
1355157521464487945,1355157521464487936,Research reveals genetic response of ocean warming and acidification in AmericanÂ lobster https://t.co/nVdBTml0bk,enabling context
1355156770155614216,1355156770155614208,ð¡ We're going on a special dive today with the Coral Restoration Foundation to learn how to conduct reef maintenance by transplanting corals from their nursery to out on the reefs.,buzz
1355153796721217536,1355153796721217536,American lobster postlarvae alter gene regulation in response to ocean warming andÂ acidification https://t.co/VMyvBhc6eQ,enabling context
