,id,id_str,user_location,country_location
0,1355345090022154241,1355345090022154241,"Atlantic, Pacific, Indian, Arctic, & Southern Oceans",Unknown
1,1355321147701686273,1355321147701686273,Not Available,Unknown
2,1355286925809094659,1355286925809094659,Not Available,Unknown
3,1355276872410681348,1355276872410681348,"28.385233, -81.563873. ",Unknown
4,1355268165148815360,1355268165148815360,Canada,Canada
5,1355268161939992576,1355268161939992576,Canada,Canada
6,1355264500925145093,1355264500925145093,Earth,Unknown
7,1355243694669004800,1355243694669004800,"South Jordan, UT",United States
8,1355224896582934533,1355224896582934533,"Broward County, Florida",United States
9,1355189722692243456,1355189722692243456,"Denver, CO",United States
10,1355157521464487945,1355157521464487945,Monaco,Monaco
11,1355156770155614216,1355156770155614216,NY | LA | PARIS,Unknown
12,1355153796721217536,1355153796721217536,Monaco,Monaco
13,1355141184021213192,1355141184021213192,ajks - he / him - autist - 18,Unknown
14,1355118276444094466,1355118276444094466,"South Devon, UK",United States
15,1355100680671928321,1355100680671928321,Not Available,Unknown
16,1355086730689273856,1355086730689273856,"Wurundjeri Land, Kulin Nation",Australia
17,1355082660335374342,1355082660335374342,"Wurundjeri Land, Kulin Nation",Australia
18,1355064566841962497,1355064566841962497,Not Available,Unknown
19,1355053049312653313,1355053049312653313,Not Available,Unknown
20,1355008939621036032,1355008939621036032,Not Available,Unknown
21,1354997696856166403,1354997696856166403,"Santa Monica, CA",United States
22,1354984266216710146,1354984266216710146,Not Available,Unknown
23,1354959700865986575,1354959700865986575,Planet Earth!,Unknown
24,1354957674589380610,1354957674589380610,"Seattle, WA",United States
25,1354930496401244161,1354930496401244161,UK,United Kingdom
26,1354886747902119938,1354886747902119938,Not Available,Unknown
27,1354875698373136385,1354875698373136385,"Galway, Ireland",Ireland
28,1354871522704277508,1354871522704277508,Mundi Salutem,Unknown
29,1354869245612412930,1354869245612412930,Occupied Kalapuya Territory,United States
30,1354851635902771201,1354851635902771201,Not Available,Unknown
31,1354846868841357312,1354846868841357312,Not Available,Unknown
32,1354840540836220930,1354840540836220930,"Atlantic, Pacific, Indian, Arctic, & Southern Oceans",Unknown
33,1354831310146035712,1354831310146035712,"Walpole, Maine",United States
34,1354819157317980168,1354819157317980168,"Lausanne, Switzerland",Switzerland
35,1354817461397319684,1354817461397319684,Not Available,Unknown
36,1354816329182662656,1354816329182662656,Calvert/ Witless Bay NL,Canada
37,1354814057044295686,1354814057044295686,Not Available,Unknown
38,1354806038516514819,1354806038516514819,Courage in Despair,Unknown
39,1354799833958076416,1354799833958076416,Monaco,Monaco
40,1354799572590227457,1354799572590227457,Not Available,Unknown
41,1354780917756289027,1354780917756289027,Not Available,Unknown
